u_apercor,g_apercor,r_apercor,i_apercor,z_apercor,y_apercor,zhelio
22.932697595306973,22.1824447459881,21.88824391377173,21.85477849455627,21.86935030812241,21.53210149101512,0.10636491
24.1492259565949,23.67297787205412,23.154585230680357,22.467658842377208,22.241804300075223,22.121457424607677,0.7755841
24.331582096914225,24.023733271431304,23.482748774494485,22.72302517064978,22.258937935221535,21.898221543086592,0.98604906
24.264425190932965,23.933813776147396,23.35045360544624,22.733154462624142,22.63522368692373,22.433564702772166,0.6843375
23.959610097662694,23.95243444364945,23.767739576296044,23.44276034276187,22.812797242381226,22.86382544311131,1.2237926
23.15555745398747,21.95342522337729,20.90138734007197,20.469522184589223,20.171316465411316,19.992732895273974,0.28736585
23.83576493155551,23.26297875493738,22.38614641143721,21.623889802164882,21.300148752455932,21.00570998822218,0.65311855
24.200962917218547,23.479429406231944,22.48308061281575,21.34927202979919,20.88341402745843,20.501782824178413,0.7749808
23.01210581472526,22.955287972881035,22.8549845842328,22.68903235624969,22.13318120423264,22.194574461731243,1.1510195
23.913396027972308,23.880127203500972,23.940039136303152,23.807462154363538,23.332962722285647,23.333779953571266,1.4656762
21.969015923320665,21.81705324012191,21.38228857327823,21.161495653003662,20.628335200094977,20.783790717778018,1.6248157
24.8309288453087,22.69835227449095,21.175419545272902,20.44859698651589,20.118696317519117,20.007046425520684,0.45290396
24.701272914075247,24.35735520741998,23.303605827521206,22.72270434819703,22.3985328155451,22.31582474607476,0.6554912
23.65899128608949,23.529246970939163,22.884679008777457,22.581340622998525,22.472622563064636,22.281996221565635,0.5386448
23.09034845054686,22.359309434186383,21.67092227618383,21.41946978134866,21.291401739211828,21.025431804655,0.2990056
23.960467739481444,23.832509312988503,23.630890389816006,22.97849615544595,22.759919662149755,22.71884497121004,0.94756436
22.148729137914735,21.3922354267632,20.68407605735536,20.398496940158775,20.12348394615832,20.041778382843127,0.2882625
22.828783570693254,22.208843302842634,21.835495791597797,21.736106358225896,21.675652511215706,21.847097467434182,0.1945529
21.028613243255236,19.415803278211566,18.11015531835446,17.64354537436037,17.422090386711716,17.312798466478696,0.29419097
22.647892625782035,21.899384978441567,21.625490008570257,21.571971122218393,21.55191066768702,21.43113203807495,0.075041495
24.569360575434203,24.14004278767568,23.137719078527315,22.842600623103284,22.70872865403052,22.455556589597116,0.5132614
22.0819130207376,21.41916790103333,20.814444373134787,20.43667752522928,20.26326779386352,20.1653948361704,0.23149537
24.76955733268572,23.973097961736624,23.2227678227516,22.223280561708968,21.827579577805473,21.893179560225995,0.8563455
24.50365406124722,23.667538802255784,22.630006934804072,21.673106458722202,21.214005960261108,21.20843203619627,0.80875397
22.56250120942055,20.830154239605367,19.51404317277441,18.977142099243434,18.702332711644786,18.62103553155265,0.28818956
24.862427770773433,24.470212150551827,23.68328236168159,23.50987634272831,23.210735886248347,22.94258644519224,0.480034
23.706940210790478,23.119859870750986,22.215234265073086,22.100331026777372,22.011737428550763,23.03387996141653,0.28652018
22.389518184266763,20.858817252297076,19.86068339937319,19.38970683395835,19.13420253987365,19.026851715800795,0.19530462
23.862030751270066,23.72229867850483,23.514876507053174,23.254216054131188,22.826528728737216,22.6902912244137,0.9418919
24.18289378787321,23.549279298904853,23.266292988121382,23.042751532341033,23.07932645659285,23.191586250335405,0.07428521
23.07598594460253,22.718947040527098,21.947932305073206,21.737881527745856,21.5805521831475,21.242138977280433,0.47978967
24.165635741533812,23.813970077890453,23.38298442190789,22.68855951572329,22.54521649019636,22.229419624964073,0.8593458
23.442514282096138,22.791994786393023,21.77600024246139,21.08123835476496,20.83367536022514,20.824988894490872,0.6226394
24.502236290623195,24.464905624931955,24.142494683768554,23.86817902403876,23.15983955714139,23.193617240855872,1.095422
24.724142786777698,24.402094125658166,23.629233592554275,23.31361016497779,23.152660384722765,22.79622147147792,0.42544687
23.798838551713228,23.72464560417179,23.600656862447654,23.798048813269407,23.206042914030455,23.57416781963896,1.139836
24.035240896052763,23.269301553087413,22.778064756122944,22.671903170089518,22.36055956715631,22.38437301029478,0.19842224
27.07928992527665,25.591809820713113,24.128461023761076,22.830317153617948,22.28103845550994,21.972807344041875,0.8156897
24.21891424609267,24.150757731649648,23.888682517439747,23.846961278663738,23.195679862577,23.401367465876504,1.3117044
22.31283205175895,22.04418315312947,21.698198954122518,21.088484747748137,20.834458603623187,20.723529103921038,0.8098573
23.955903419103784,23.86275369239051,23.549392051039405,23.226742662302676,22.55623416428366,22.244396342347564,1.1756258
26.00844881321927,23.576047358972033,22.02269636452555,21.38552839020877,21.001408146361555,20.915738126041767,0.4204941
23.18293187043107,23.120769107889927,23.00803618689145,23.051165165723596,22.297056761633637,22.584406850711105,1.201433
26.026178551896944,25.02853520739419,24.23347587727553,23.271222875078546,22.354538409550035,21.86298265172288,1.2787654
24.548663860091352,24.308391139881042,24.186479844989485,23.720222152912605,23.8794217830788,22.554291599298757,1.3976294
24.280612835112564,24.3601753656512,24.028365836340843,24.031179448824684,23.465255060981608,22.984385285179343,1.2017388
23.547302190449013,23.277327073337304,22.90178656464637,22.2499245197864,21.99543995861915,22.278716235997628,0.8129261
23.884725913582276,23.704243265076958,23.252953495327546,22.963302178788165,22.69370863454881,22.829278771924166,0.7035291
23.94927029490102,23.882007678445436,23.761830792471116,23.487573304147826,23.26601112293987,22.873052235344915,0.9878347
23.86529286291686,23.079463276645537,22.547779646410905,22.416006000959246,22.136331480717878,22.36560483302746,0.28194496
24.892011773764505,24.653759062619518,24.36968328800623,23.518266179621428,23.420725907975235,23.365320674410036,0.7612484
26.193701813965305,24.830224663781216,23.472984901223732,22.320373652294066,21.69412875248979,21.406410403602116,0.80840343
20.669919680060286,19.91599247911914,19.460669269123677,19.28293839741861,19.09663939579289,19.391115944777837,0.19757083
24.13579225043138,23.87542353000323,23.809118272500264,23.694462237692992,23.308526046230234,23.590387801392176,1.3974371
26.827246623370883,25.025243996983267,23.41050203927419,22.228540269967755,21.625653469705124,21.36346926416571,0.8504497
22.94716881832941,21.59120429079045,20.429234578864293,19.928078043735983,19.659805734430247,19.56679655727916,0.29017377
22.0740406302635,21.286578842739306,20.585540383517102,20.387621625197152,20.13833260769256,20.043518412523525,0.300942
23.241488080289145,21.446532005237387,19.944616741635027,19.347648228920615,19.0467292286583,18.990259695940445,0.42113847
21.695530519292728,20.16596627077045,18.881712015816664,18.381428933033952,18.115162171552768,18.045430132274944,0.28773805
24.165364712629444,22.20263612486561,20.564594305254754,19.87139581684068,19.478368667271162,19.3771530794697,0.42534652
24.16286534557187,24.053457518336792,23.73825405188319,23.533099424472372,23.072786523171285,22.770769954035373,1.1997839
23.381612217813785,23.162789438129217,22.85410043412437,22.299668183148263,22.110936438270276,21.91221787851859,0.80906165
24.668170916572663,22.774499931838168,21.24034428144657,20.171980072521205,19.791948598359475,19.835646124016357,0.6219017
22.584676925584642,21.87560607431971,21.199607814382652,20.9932667171804,20.77111626155293,20.734230778526893,0.2815293
23.431774911329924,22.50116251004845,21.66501472347695,21.344581400312332,21.111545161325633,20.948304373683044,0.28188717
23.057995239792255,22.93014094177656,22.58307725251656,22.111598185299513,21.812805634082405,22.00987461536652,0.81976366
23.44052118454183,22.016377165895808,20.91220740057371,20.477904697039733,20.24780863108472,20.110776125611316,0.2808085
24.131997238386784,23.924150040852364,23.477627726437824,22.839626977660963,22.59842413170891,22.362256518787667,0.9361788
23.678001692258132,23.03226140480329,22.65239678002583,22.390229545738215,22.381396609067995,22.429083011312088,0.19489795
24.09764005065997,23.99822668289127,23.56471713935542,23.463751317731475,22.78349148970038,22.74158435718843,1.3066338
23.58447817846335,23.446242614128558,23.002999026414425,22.87447519396839,22.110614910365083,21.712560267570296,1.3083252
23.862326548397107,23.73853977243444,23.728587085772578,23.616406131949674,23.296274767583824,23.120761524831167,1.3089502
24.58053468701139,24.295881917080994,24.200775752232726,23.749537951284516,23.44670855059549,23.66818510456126,0.9282929
24.033603257484163,23.487608571841147,22.657169735806857,21.99214959033977,21.710595230141895,21.581745881833584,0.6822734
24.36491602579755,24.478188975329697,24.159610546318806,23.682175122382045,23.29447548426376,23.4822104967675,0.7955289
24.269056685334665,23.96054573177041,22.928980936360126,22.097441488393496,21.22019296902867,19.10354835720848,1.0948154
23.80241075706422,23.464077006224624,22.909579177031596,22.23863777788501,22.099194407685275,22.021253599470626,0.7523721
24.936789398013023,24.31011048805081,23.33281951594289,22.445784195119185,21.925249099789813,21.801775864123222,0.9167891
22.680506767554615,22.083017878206,21.3963648551589,20.79000281508422,20.540566952180605,20.44645275948936,0.692536
26.920616285028814,25.334184140731292,23.799352233902944,22.66427308655621,22.044222139011815,22.03413996667757,0.82922727
